"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1_sim","res_2_sim","dem_1_sim","dem_2_sim","dem_3_sim"
1,1,2,1,2,NA,NA,43,1,NA
2,NA,1,NA,2,NA,6,22,1,2
3,1,2,1,NA,1,1,NA,NA,NA
4,NA,NA,NA,1,1,9,72,3,NA
5,1,1,1,1,1,15,NA,1,2
6,NA,1,2,1,2,15,NA,NA,2
7,NA,1,1,2,3,NA,22,NA,1
8,2,NA,1,NA,2,NA,NA,NA,NA
9,NA,2,1,NA,NA,16,NA,1,2
10,1,1,1,1,NA,3,17,4,NA
11,2,1,NA,NA,NA,6,NA,NA,NA
12,NA,1,1,NA,NA,1,48,1,2
13,NA,NA,1,NA,1,NA,72,1,1
14,1,1,NA,1,2,14,1,1,NA
15,2,NA,NA,1,NA,3,18,3,2
16,NA,NA,NA,NA,2,16,87,NA,NA
17,2,1,NA,NA,2,NA,21,1,2
18,2,1,1,2,2,NA,60,NA,2
19,NA,1,NA,NA,NA,6,85,1,2
20,2,NA,1,1,NA,NA,33,1,2
21,1,NA,NA,NA,3,NA,NA,NA,2
22,1,NA,NA,1,2,13,9,NA,2
23,NA,1,2,NA,NA,NA,31,1,NA
24,NA,1,1,2,NA,NA,NA,1,NA
25,2,NA,1,NA,2,NA,NA,1,NA
26,2,NA,NA,NA,NA,NA,NA,NA,2
27,1,2,1,1,3,9,20,3,2
28,NA,1,1,2,NA,NA,74,1,NA
29,NA,1,1,2,3,NA,43,1,NA
30,2,1,NA,2,1,1,80,1,NA
31,NA,NA,1,2,2,14,NA,1,NA
32,2,NA,NA,NA,1,NA,15,1,2
33,2,NA,NA,NA,2,NA,NA,NA,NA
34,NA,NA,1,2,3,3,26,2,2
35,1,NA,1,NA,2,4,NA,NA,2
36,NA,1,1,NA,NA,13,52,1,2
37,NA,NA,1,NA,NA,NA,64,NA,NA
38,NA,NA,1,2,2,12,19,1,NA
39,NA,1,1,1,1,11,14,NA,2
40,NA,1,NA,1,3,6,72,1,2
41,2,1,1,2,NA,9,2,1,2
42,2,2,1,NA,1,12,NA,1,NA
43,NA,NA,NA,1,2,NA,15,1,2
44,NA,1,1,NA,2,NA,NA,1,NA
45,1,1,NA,1,2,NA,30,3,2
46,1,NA,1,NA,2,6,NA,1,2
47,NA,1,1,NA,NA,7,46,NA,2
48,2,1,NA,1,2,2,NA,1,NA
49,NA,1,NA,2,NA,5,NA,NA,NA
50,NA,1,1,1,1,12,39,1,2
51,NA,1,NA,1,1,NA,NA,NA,NA
52,2,NA,1,NA,1,15,80,NA,2
53,NA,1,NA,NA,3,6,71,2,2
54,2,1,NA,NA,1,10,NA,2,2
55,2,NA,NA,2,NA,13,59,1,2
56,NA,NA,1,NA,2,16,NA,NA,2
57,NA,1,1,1,2,NA,NA,1,NA
58,NA,NA,1,NA,1,NA,5,NA,NA
59,2,1,1,2,2,11,54,NA,NA
60,2,1,1,NA,3,1,NA,NA,2
61,2,NA,1,1,NA,NA,61,NA,NA
62,NA,1,NA,NA,2,1,30,1,2
63,2,NA,NA,NA,NA,2,NA,1,2
64,2,1,NA,NA,NA,NA,40,NA,2
65,2,1,NA,2,NA,3,NA,1,2
66,NA,NA,NA,NA,2,NA,39,1,NA
67,2,1,1,1,NA,NA,48,1,2
68,1,1,1,NA,NA,16,78,NA,2
69,2,2,1,1,2,NA,60,1,2
70,NA,1,1,2,NA,NA,NA,2,NA
71,NA,1,1,NA,NA,5,NA,NA,NA
72,1,1,1,1,NA,6,NA,1,2
73,NA,NA,NA,1,2,15,NA,NA,NA
74,2,NA,1,NA,NA,16,85,NA,NA
75,NA,1,1,NA,NA,15,NA,NA,2
76,2,1,NA,1,NA,12,NA,NA,2
