"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1","res_2","dem_1_sim","res_1_sim","res_2_sim","dem_2_sim","dem_3_sim","cwb_scale"
1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,1
2,1,NA,NA,NA,NA,NA,NA,NA,7,NA,2,1.5
3,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
4,NA,NA,1,2,2,8,23,2,NA,NA,2,NA
5,2,NA,NA,2,1,14,21,1,7,NA,NA,3.5
6,1,1,NA,2,3,NA,69,NA,10,NA,2,3.5
7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
8,NA,1,NA,1,2,NA,NA,1,1,1,NA,NA
9,1,1,NA,2,NA,NA,84,NA,3,1,NA,5
10,1,1,NA,NA,2,NA,32,NA,10,NA,2,5.5
11,NA,1,NA,NA,2,12,48,NA,12,NA,2,NA
12,NA,1,NA,NA,NA,8,42,2,2,NA,2,NA
13,NA,1,1,NA,1,NA,19,1,NA,1,2,NA
14,NA,1,NA,NA,2,3,NA,NA,10,1,NA,NA
15,NA,1,NA,1,2,12,NA,NA,NA,NA,NA,NA
16,NA,1,1,NA,1,NA,35,1,NA,1,NA,NA
17,NA,NA,1,1,1,2,NA,2,1,NA,NA,NA
18,NA,1,NA,NA,NA,16,NA,2,NA,NA,2,NA
19,NA,1,NA,NA,2,NA,NA,NA,NA,1,2,NA
20,NA,1,1,NA,2,16,3,2,15,NA,NA,NA
21,NA,NA,NA,NA,1,NA,NA,1,10,1,2,NA
22,NA,1,NA,NA,NA,16,45,NA,15,1,NA,NA
23,NA,NA,NA,1,1,NA,17,2,4,NA,2,NA
24,NA,NA,1,NA,2,NA,NA,3,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,1,2,9,1,NA,NA
26,2,1,NA,NA,1,NA,NA,2,4,2,2,14
27,2,1,1,1,NA,8,45,3,NA,NA,2,14.5
28,NA,1,2,NA,NA,4,NA,3,12,3,NA,NA
29,2,NA,1,NA,NA,NA,NA,NA,3,NA,2,15.5
30,NA,NA,NA,NA,1,NA,NA,2,11,NA,2,NA
31,NA,1,1,NA,NA,NA,2,NA,1,2,2,NA
32,NA,2,NA,NA,1,4,54,3,NA,1,2,NA
33,2,NA,NA,NA,2,6,42,3,3,NA,2,17.5
34,NA,1,NA,NA,2,4,NA,NA,9,1,2,NA
35,NA,NA,1,NA,3,NA,NA,2,16,2,2,NA
36,NA,NA,NA,NA,1,NA,NA,2,7,NA,2,NA
37,NA,1,NA,NA,1,1,12,2,13,3,2,NA
38,1,1,1,NA,NA,3,38,2,NA,NA,NA,19.5
39,NA,1,NA,NA,3,6,NA,NA,8,1,NA,NA
40,2,2,1,NA,NA,13,84,1,9,NA,2,21
41,2,NA,NA,NA,2,NA,71,NA,15,NA,2,21.5
42,1,1,NA,1,2,14,NA,3,10,1,NA,21.5
43,NA,NA,NA,NA,2,NA,NA,2,11,NA,NA,NA
44,2,1,NA,NA,1,13,3,2,NA,3,NA,23
45,NA,1,NA,NA,NA,11,79,2,NA,4,2,NA
46,NA,NA,1,NA,NA,9,76,NA,16,2,2,NA
47,NA,1,1,1,1,8,34,2,NA,3,NA,NA
48,1,NA,1,NA,NA,1,78,2,NA,NA,2,24.5
49,NA,2,NA,NA,NA,10,49,2,2,NA,2,NA
50,2,1,NA,1,1,14,47,1,7,NA,2,26
51,NA,1,NA,NA,2,6,84,2,16,NA,2,NA
52,1,1,1,NA,NA,11,33,3,10,2,2,26.5
53,NA,1,1,NA,1,15,3,1,NA,1,2,NA
54,NA,NA,1,1,2,1,NA,1,NA,NA,NA,NA
55,NA,1,NA,2,NA,NA,15,2,16,NA,2,NA
56,NA,1,NA,2,2,NA,NA,NA,6,1,2,NA
57,NA,1,1,2,3,NA,33,1,4,2,2,NA
58,NA,1,NA,NA,3,7,58,2,NA,1,NA,NA
59,NA,NA,1,2,2,NA,27,NA,2,NA,2,NA
60,NA,1,NA,NA,2,NA,31,1,5,NA,NA,NA
61,2,1,NA,NA,NA,NA,NA,3,11,NA,NA,31.5
62,NA,NA,1,NA,NA,8,38,NA,10,NA,2,NA
63,2,1,1,1,3,NA,32,NA,14,2,2,32.5
64,2,1,1,NA,NA,3,NA,NA,13,1,NA,33
65,NA,1,1,2,NA,1,NA,3,8,1,2,NA
66,NA,1,1,NA,3,NA,NA,3,1,2,2,NA
67,NA,NA,NA,NA,3,14,NA,NA,NA,NA,2,NA
68,2,1,1,NA,NA,NA,NA,2,1,NA,2,35
69,1,1,NA,1,1,NA,81,3,NA,NA,NA,35
70,NA,1,1,NA,2,NA,NA,3,7,1,NA,NA
71,1,NA,1,NA,2,6,NA,2,NA,NA,2,36
72,2,1,NA,1,2,2,NA,2,NA,NA,2,37
73,NA,1,NA,NA,1,7,NA,NA,6,NA,NA,NA
74,NA,NA,NA,1,NA,10,4,NA,NA,NA,2,NA
75,NA,1,NA,NA,NA,7,6,NA,NA,2,NA,NA
76,2,1,1,NA,1,6,1,2,NA,1,NA,39
77,NA,1,1,NA,2,16,14,NA,1,1,2,NA
78,NA,1,1,NA,1,NA,NA,2,14,NA,NA,NA
79,1,1,NA,NA,2,NA,NA,3,5,1,2,40
80,NA,1,1,NA,NA,13,40,NA,13,1,NA,NA
81,NA,1,1,NA,2,NA,NA,NA,7,4,NA,NA
82,2,NA,1,NA,1,4,10,1,14,NA,2,42
83,NA,NA,1,NA,NA,9,19,NA,NA,1,2,NA
84,NA,1,1,NA,NA,NA,NA,2,9,NA,NA,NA
85,NA,1,1,NA,1,11,NA,NA,12,1,NA,NA
86,NA,NA,NA,NA,2,8,NA,3,16,NA,2,NA
87,NA,NA,NA,NA,2,NA,28,2,14,1,2,NA
88,NA,NA,NA,NA,NA,8,5,2,16,3,NA,NA
89,NA,1,NA,NA,1,4,60,NA,14,NA,2,NA
90,NA,1,1,NA,NA,10,54,2,6,1,NA,NA
91,NA,2,NA,2,2,13,NA,2,2,1,2,NA
92,NA,2,1,1,NA,9,NA,1,4,1,2,NA
93,NA,NA,1,NA,NA,NA,29,2,14,2,1,NA
94,NA,NA,NA,2,1,1,11,NA,12,4,NA,NA
95,NA,NA,NA,1,NA,9,79,3,8,1,2,NA
96,NA,1,1,2,3,NA,NA,NA,14,3,NA,NA
97,2,NA,1,2,1,6,11,2,10,NA,2,49.5
98,NA,NA,NA,NA,NA,NA,7,NA,NA,1,2,NA
99,NA,1,1,NA,1,7,20,NA,3,1,2,NA
100,2,1,NA,NA,3,16,85,3,9,NA,NA,51
101,NA,NA,NA,2,1,NA,25,2,6,NA,2,NA
102,NA,1,1,NA,NA,NA,29,NA,4,NA,NA,NA
103,2,NA,NA,NA,1,5,60,1,5,NA,2,52.5
104,2,1,NA,2,2,NA,58,NA,3,NA,NA,53
105,NA,1,NA,NA,1,7,85,3,NA,1,2,NA
106,NA,1,NA,NA,2,NA,63,3,2,NA,2,NA
107,NA,1,1,1,NA,NA,NA,NA,5,2,2,NA
108,NA,NA,1,1,1,NA,NA,3,NA,2,2,NA
109,1,NA,NA,NA,NA,NA,NA,NA,12,NA,2,55
110,NA,NA,NA,1,3,5,44,2,12,NA,2,NA
111,1,1,NA,NA,2,3,2,1,10,1,NA,56
112,NA,NA,1,1,1,10,72,3,10,NA,NA,NA
113,NA,NA,1,NA,2,13,NA,1,14,NA,2,NA
114,NA,NA,1,1,2,16,44,NA,13,4,NA,NA
115,2,1,1,2,NA,NA,40,NA,13,1,NA,58.5
116,2,NA,1,1,3,15,NA,NA,2,NA,2,59
117,NA,1,1,NA,NA,NA,51,2,NA,1,NA,NA
118,NA,1,NA,NA,2,3,NA,1,16,3,NA,NA
119,NA,NA,NA,NA,NA,9,37,NA,NA,1,NA,NA
120,2,NA,NA,NA,1,6,18,3,4,NA,2,61
121,NA,NA,NA,1,2,5,62,NA,6,NA,NA,NA
122,NA,1,NA,1,2,NA,73,NA,14,NA,2,NA
123,2,1,NA,1,NA,2,50,2,7,1,NA,62.5
124,1,1,NA,1,3,NA,NA,2,13,1,2,62.5
125,2,1,NA,2,2,8,31,NA,NA,1,1,63.5
126,2,1,NA,2,2,10,NA,2,8,1,2,64
127,2,NA,NA,NA,1,NA,NA,1,NA,1,2,64.5
128,2,NA,1,1,3,12,5,NA,NA,NA,NA,65
129,NA,1,1,NA,NA,3,NA,2,NA,1,2,NA
130,2,2,NA,NA,NA,NA,80,3,NA,1,NA,66
131,NA,1,NA,NA,NA,11,11,1,12,1,2,NA
132,2,NA,NA,2,NA,NA,NA,NA,13,NA,NA,67
133,NA,NA,NA,NA,2,NA,NA,1,NA,1,2,NA
134,NA,NA,1,NA,NA,NA,55,NA,NA,1,NA,NA
135,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
136,NA,NA,NA,2,3,15,58,NA,8,NA,2,NA
137,NA,NA,1,NA,NA,1,48,NA,NA,1,2,NA
138,2,NA,1,NA,1,5,18,NA,NA,2,2,70
139,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
140,NA,1,1,NA,1,4,NA,2,8,3,NA,NA
141,NA,NA,1,2,1,NA,NA,NA,6,1,2,NA
142,1,1,NA,NA,2,NA,68,NA,1,1,NA,71.5
143,NA,1,NA,NA,NA,2,NA,1,NA,1,2,NA
