"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1_sim","res_2_sim","dem_1_sim","dem_2_sim","dem_3_sim"
1,NA,2,1,2,3,9,NA,NA,2
2,1,1,NA,2,NA,6,NA,1,2
3,1,NA,1,2,1,NA,79,NA,2
4,NA,NA,1,NA,NA,9,72,3,2
5,1,1,1,1,1,15,24,1,NA
6,NA,NA,NA,1,2,15,35,1,NA
7,NA,NA,NA,2,3,13,22,NA,NA
8,NA,1,1,NA,NA,NA,32,NA,2
9,NA,NA,NA,2,2,NA,NA,NA,NA
10,1,1,1,1,1,NA,17,4,2
11,2,1,1,NA,1,NA,NA,NA,NA
12,2,NA,1,1,1,NA,NA,1,2
13,1,NA,NA,NA,1,NA,72,NA,2
14,1,1,2,1,NA,14,1,1,2
15,2,NA,NA,NA,NA,3,NA,3,2
16,NA,NA,NA,NA,2,NA,87,1,2
17,2,1,1,NA,2,NA,21,NA,2
18,2,1,1,2,2,15,NA,NA,NA
19,2,NA,1,2,NA,NA,NA,1,2
20,2,1,1,NA,2,16,NA,NA,2
21,1,1,NA,NA,3,NA,36,NA,2
22,NA,NA,1,NA,2,13,9,3,2
23,1,NA,NA,2,1,NA,NA,NA,2
24,2,NA,1,2,2,14,NA,NA,NA
25,NA,1,NA,2,2,NA,NA,1,NA
26,2,1,1,NA,NA,NA,NA,NA,2
27,1,2,1,1,3,9,20,3,2
28,NA,NA,1,2,2,14,NA,NA,2
29,NA,1,NA,2,3,5,NA,1,2
30,NA,1,1,NA,1,1,80,1,2
31,NA,NA,NA,2,2,14,10,1,NA
32,2,2,1,NA,NA,15,15,NA,2
33,2,1,1,NA,NA,5,NA,NA,NA
34,NA,NA,1,NA,3,3,26,2,2
35,NA,NA,1,NA,NA,4,14,1,NA
36,2,1,NA,1,NA,13,NA,1,2
37,2,1,NA,1,NA,NA,64,NA,2
38,NA,1,NA,NA,2,12,19,1,2
39,NA,NA,NA,1,1,11,14,1,NA
40,2,1,NA,1,NA,6,72,1,2
41,2,1,1,2,2,NA,2,1,2
42,NA,2,1,2,1,NA,1,1,NA
43,2,NA,1,NA,NA,13,15,NA,2
44,NA,NA,1,1,2,NA,NA,1,NA
45,1,NA,1,1,NA,16,30,NA,2
46,1,1,1,NA,2,NA,89,NA,2
47,2,1,NA,2,2,NA,NA,3,2
48,2,1,1,NA,NA,2,51,1,NA
49,NA,NA,1,2,NA,5,NA,NA,NA
50,NA,NA,NA,1,1,12,39,1,2
51,NA,NA,1,1,NA,11,87,NA,NA
52,NA,2,NA,2,1,NA,80,1,NA
53,NA,1,NA,NA,3,NA,71,2,2
54,2,NA,1,2,NA,10,23,2,NA
55,2,1,1,NA,NA,NA,59,1,2
56,NA,NA,1,NA,NA,16,47,2,NA
57,1,1,NA,1,2,4,67,NA,NA
58,2,NA,NA,2,1,NA,NA,NA,2
59,2,1,1,2,2,11,NA,1,NA
